symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
DDM,2023-08-21 09:30:00,2023-11-13 09:30:00,0.5495656417000481,0.0,9,36.0,2023-11-13 09:30:00,0.25,0.25,-494.6090775300433,max_positions,risk_unseen_recent_tp800,dow_30,494.6090775300433
DIG,2023-08-21 09:30:00,2023-11-13 09:30:00,1.0405751623903505,0.0,4,42.43,2023-11-13 09:30:00,0.31317495284894836,0.31317495284894836,-416.2300649561402,max_positions,risk_unseen_recent_tp800,energy,416.2300649561402
MVV,2023-08-21 09:30:00,2023-11-13 09:30:00,0.8459523992385805,0.0,5,55.37,2023-11-13 09:30:00,0.25,0.25,-422.97619961929024,max_positions,risk_unseen_recent_tp800,midcap_400,422.97619961929024
QLD,2023-08-21 09:30:00,2023-11-13 09:30:00,0.8591777145699453,0.0,5,33.62,2023-11-13 09:30:00,0.3202631939569953,0.3202631939569953,-429.5888572849726,max_positions,risk_unseen_recent_tp800,nasdaq_100,429.5888572849726
ROM,2023-08-21 09:30:00,2023-11-13 09:30:00,1.4618545197071189,0.16121414184570426,3,45.47,2023-11-13 09:30:00,0.3622899180893442,0.3622899180893442,-390.19211335842436,max_positions,risk_unseen_recent_tp800,technology,438.55635591213564
RXL,2023-08-21 09:30:00,2023-11-13 09:30:00,0.7227460097542266,0.0,6,47.33,2023-11-13 09:30:00,0.25,0.25,-433.64760585253595,max_positions,risk_unseen_recent_tp800,healthcare,433.64760585253595
SSO,2023-08-21 09:30:00,2023-11-13 09:30:00,0.4649072032847945,0.0,10,30.39,2023-11-13 09:30:00,0.25,0.25,-464.90720328479455,max_positions,risk_unseen_recent_tp800,broad_market,464.90720328479455
UCC,2023-08-21 09:30:00,2023-11-13 09:30:00,0.8849101650126023,0.0,5,33.96,2023-11-13 09:30:00,0.32344286242542797,0.32344286242542797,-442.45508250630115,max_positions,risk_unseen_recent_tp800,consumer_discretionary,442.45508250630115
USD,2023-08-21 09:30:00,2023-11-13 09:30:00,1.0506454055762835,0.0,4,11.71,2023-11-13 09:30:00,0.7026824204924985,0.7026824204924985,-420.2581622305134,max_positions,risk_unseen_recent_tp800,semiconductors,420.2581622305134
UYG,2023-08-21 09:30:00,2023-11-13 09:30:00,0.6766102009040988,0.0,7,44.33,2023-11-13 09:30:00,0.25,0.25,-473.6271406328692,max_positions,risk_unseen_recent_tp800,financials,473.6271406328692
DIG,2023-08-28 09:30:00,2023-11-20 09:30:00,0.9451655186760206,0.0,5,42.26,2023-11-20 09:30:00,0.29911543122226736,0.29911543122226736,-472.5827593380103,max_positions,risk_unseen_recent_tp800,energy,472.5827593380103
ROM,2023-08-28 09:30:00,2023-11-20 09:30:00,1.8020713889922533,2.7815313720703116,2,46.46,2023-11-20 09:30:00,0.4032238471688691,0.4032238471688691,195.89199661561167,max_positions,risk_unseen_recent_tp800,technology,360.41427779845066
RXL,2023-08-28 09:30:00,2023-11-20 09:30:00,0.7227843489695154,0.0,6,47.29,2023-11-20 09:30:00,0.25,0.25,-433.67060938170926,max_positions,risk_unseen_recent_tp800,healthcare,433.67060938170926
USD,2023-08-28 09:30:00,2023-11-20 09:30:00,1.0636262552852562,0.4754146957397456,4,11.56,2023-11-20 09:30:00,0.7158290128103109,0.7158290128103109,-235.28462381820424,max_positions,risk_unseen_recent_tp800,semiconductors,425.4505021141025
DIG,2023-09-05 09:30:00,2023-11-28 09:30:00,1.0377231281058705,0.0,4,45.22,2023-11-28 09:30:00,0.30285517842821946,0.30285517842821946,-415.0892512423482,max_positions,risk_unseen_recent_tp800,energy,415.0892512423482
ROM,2023-09-05 09:30:00,2023-11-28 09:30:00,1.7517405703125792,0.0,2,50.11,2023-11-28 09:30:00,0.3798743857159802,0.3798743857159802,-350.34811406251583,max_positions,risk_unseen_recent_tp800,technology,350.34811406251583
USD,2023-09-05 09:30:00,2023-11-28 09:30:00,1.096841158525124,0.0,4,12.47,2023-11-28 09:30:00,0.6935985993860216,0.6935985993860216,-438.7364634100496,max_positions,risk_unseen_recent_tp800,semiconductors,438.7364634100496
DIG,2023-09-11 09:30:00,2023-12-04 09:30:00,1.0125583636983269,0.0,4,44.76,2023-12-04 09:30:00,0.30080689746234884,0.30080689746234884,-405.0233454793307,max_positions,risk_unseen_recent_tp800,energy,405.0233454793307
ROM,2023-09-11 09:30:00,2023-12-04 09:30:00,1.7106899451117759,0.0,2,48.19,2023-12-04 09:30:00,0.3830150608559256,0.3830150608559256,-342.13798902235516,max_positions,risk_unseen_recent_tp800,technology,342.13798902235516
USD,2023-09-11 09:30:00,2023-12-04 09:30:00,0.9104232179664695,0.0,5,11.37,2023-12-04 09:30:00,0.6475443528636071,0.6475443528636071,-455.2116089832347,max_positions,risk_unseen_recent_tp800,semiconductors,455.2116089832347
DIG,2023-09-18 09:30:00,2023-12-11 09:30:00,1.150803658214672,0.0,4,46.5,2023-12-11 09:30:00,0.31487642997487647,0.31487642997487647,-460.32146328586873,max_positions,risk_unseen_recent_tp800,energy,460.32146328586873
ROM,2023-09-18 09:30:00,2023-12-11 09:30:00,1.8026186172773464,4.485185699462889,2,45.92,2023-12-11 09:30:00,0.4063968365675375,0.4063968365675375,536.5134164371085,max_positions,risk_unseen_recent_tp800,technology,360.5237234554693
