symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
AAPU,2023-08-07 09:30:00,2023-10-30 09:30:00,0.6088682791069822,0.0,8,21.81,2023-10-30 09:30:00,0.33558944374055827,0.33558944374055827,-487.0946232855857,EXPIRY,risk_current_mature_tp500,AAPL,487.0946232855857
AMZU,2023-08-07 09:30:00,2023-10-30 09:30:00,1.7856571092876994,0.0,2,25.17,2023-10-30 09:30:00,0.594645217543569,0.594645217543569,-357.13142185753986,EXPIRY,risk_current_mature_tp500,AMZN,357.13142185753986
GGLL,2023-08-07 09:30:00,2023-10-30 09:30:00,1.6165671654200757,0.0,3,30.01,2023-10-30 09:30:00,0.4943378938757257,0.4943378938757257,-484.97014962602276,EXPIRY,risk_current_mature_tp500,GOOGL,484.97014962602276
MSFU,2023-08-07 09:30:00,2023-10-30 09:30:00,1.4104317283005088,0.0,3,31.64,2023-10-30 09:30:00,0.43859185903524256,0.43859185903524256,-423.12951849015263,EXPIRY,risk_current_mature_tp500,MSFT,423.12951849015263
AAPU,2023-08-14 09:30:00,2023-11-06 09:30:00,0.5548381028898124,0.0,9,21.93,2023-11-06 09:30:00,0.31801145827649474,0.31801145827649474,-499.3542926008312,EXPIRY,risk_current_mature_tp500,AAPL,499.3542926008312
AMZU,2023-08-14 09:30:00,2023-11-06 09:30:00,1.7579114023907794,0.0,2,24.71,2023-11-06 09:30:00,0.5957082391913103,0.5957082391913103,-351.5822804781559,EXPIRY,risk_current_mature_tp500,AMZN,351.5822804781559
GGLL,2023-08-14 09:30:00,2023-11-06 09:30:00,1.365037140863551,0.0,3,29.86,2023-11-06 09:30:00,0.4454274208849652,0.4454274208849652,-409.5111422590653,EXPIRY,risk_current_mature_tp500,GOOGL,409.5111422590653
MSFU,2023-08-14 09:30:00,2023-11-06 09:30:00,1.3079199671010429,1.061537780761718,3,30.71,2023-11-06 09:30:00,0.4267776098928712,0.4267776098928712,-73.91465590179749,EXPIRY,risk_current_mature_tp500,MSFT,392.37599013031286
NVDU,2023-09-13 09:30:00,2023-12-06 09:30:00,2.3863164332438167,0.0,2,22.39,2023-12-06 09:30:00,0.8,0.8,-477.26328664876337,EXPIRY,risk_current_mature_tp500,semiconductors,477.26328664876337
NVDU,2023-09-18 09:30:00,2023-12-11 09:30:00,2.262745763359531,0.0,2,21.24,2023-12-11 09:30:00,0.8,0.8,-452.5491526719062,EXPIRY,risk_current_mature_tp500,semiconductors,452.5491526719062
TSLT,2023-10-19 09:30:00,2024-01-11 09:30:00,2.39674063796721,0.0,2,22.5,2024-01-11 09:30:00,0.8,0.8,-479.34812759344203,EXPIRY,risk_current_mature_tp500,TSLA,479.34812759344203
TSLT,2023-10-23 09:30:00,2024-01-12 09:30:00,2.2079158455461076,0.0,2,20.75,2024-01-15 09:30:00,0.8,0.8,-441.58316910922156,EXPIRY,risk_current_mature_tp500,TSLA,441.58316910922156
AMZU,2023-10-30 09:30:00,2024-01-22 09:30:00,1.7685267906614799,2.7001573181152345,2,22.09,2024-01-22 09:30:00,0.6478431532334904,0.6478431532334904,186.32610549075093,EXPIRY,risk_current_mature_tp500,AMZN,353.705358132296
