date,symbol,side,qty,price,pnl,entries,reason
2023-08-07 09:30:00-04:00,AAPU,BUY,12.820865882171692,97.49731504002489,0.0,1,NORMAL
2023-08-08 09:30:00-04:00,PLTR,BUY,73.32110786971258,17.048520915985108,0.0,1,NORMAL
2023-08-10 09:30:00-04:00,GGLL,BUY,12.55971741375098,99.36384389413433,0.0,1,NORMAL
2023-08-11 09:30:00-04:00,NVDU,BUY,13.160302540207033,94.8487309713296,0.0,1,NORMAL
2023-08-28 09:30:00-04:00,AMZU,BUY,13.489672233753572,92.47305689036172,0.0,1,NORMAL
2023-08-30 09:30:00-04:00,TSMX,BUY,13.18926869093754,94.89320998459485,0.0,1,NORMAL
2023-08-31 09:30:00-04:00,PLTR,BUY,83.46263693705959,14.987489542007445,0.0,2,NORMAL
2023-09-01 09:30:00-04:00,NVDU,BUY,12.97261952159576,96.36889848249737,0.0,2,NORMAL
2023-09-05 09:30:00-04:00,AMZU,BUY,13.068664211137175,95.70781990163897,0.0,2,NORMAL
2023-09-06 09:30:00-04:00,AAPU,BUY,12.845346981736787,97.1865726479514,0.0,2,NORMAL
2023-09-07 09:30:00-04:00,MSTU,BUY,12.903351850503205,96.94843215136042,0.0,1,NORMAL
2023-09-08 09:30:00-04:00,TSMX,BUY,13.535506204842433,92.43656981593018,0.0,2,NORMAL
2023-09-11 09:30:00-04:00,NVDU,BUY,13.478657789672882,92.96974253508509,0.0,3,NORMAL
2023-09-12 09:30:00-04:00,AAPU,BUY,13.091440073250416,95.57618596918185,0.0,3,NORMAL
2023-09-13 09:30:00-04:00,NFXL,BUY,13.142329760648154,95.3574181559304,0.0,1,NORMAL
2023-09-15 09:30:00-04:00,NVDU,BUY,14.069132666115406,88.60328919367272,0.0,4,NORMAL
2023-09-18 09:30:00-04:00,AMZU,BUY,12.00727884652421,104.09864616489781,0.0,3,NORMAL
2023-09-20 09:30:00-04:00,GGLL,BUY,12.105359011523607,102.52273341292455,0.0,2,NORMAL
2023-09-22 09:30:00-04:00,AMZU,BUY,13.131954006059834,94.02497460186783,0.0,4,NORMAL
2023-09-25 09:30:00-04:00,IBX,BUY,12.323382232390411,100.6168041130813,0.0,1,NORMAL
2023-09-27 09:30:00-04:00,AAPU,BUY,13.875146948997774,89.04508308417057,0.0,4,NORMAL
2023-09-29 09:30:00-04:00,GGLL,BUY,12.089210027439947,102.47311044871329,0.0,3,NORMAL
2023-10-02 09:30:00-04:00,PLTR,BUY,78.3625642888605,15.887940114498138,0.0,3,NORMAL
2023-10-05 09:30:00-04:00,NFXL,BUY,14.479041827383943,85.90674488375471,0.0,2,NORMAL
2023-10-09 09:30:00-04:00,IBX,BUY,12.836487235192763,98.61518315797261,0.0,2,NORMAL
2023-10-11 09:30:00-04:00,NFXL,BUY,14.728899479746476,86.31220712661319,0.0,3,NORMAL
2023-10-12 09:30:00-04:00,GGLL,BUY,11.48527007412,110.5487529757266,0.0,4,NORMAL
2023-10-16 09:30:00-04:00,IBX,BUY,13.041556222423385,96.92638399822141,0.0,3,NORMAL
2023-10-17 09:30:00-04:00,NFXL,BUY,14.936051168509003,84.89533844009537,0.0,4,NORMAL
2023-10-18 09:30:00-04:00,PLTR,BUY,73.33451950927758,17.208600763320923,0.0,4,NORMAL
2023-10-23 09:30:00-04:00,IBX,BUY,12.830234611310038,97.82975768316253,0.0,4,NORMAL
2023-10-24 09:30:00-04:00,METU,BUY,12.647595975400485,99.69111621822418,0.0,1,NORMAL
2023-11-16 09:30:00-05:00,TSMX,BUY,14.325775737404348,90.16074698936045,0.0,3,80PCT_ADD
2023-11-20 09:30:00-05:00,PLTR,EXIT,308.48082860491024,20.93154900516157,1449.065544708933,4,TARGET
2023-11-21 09:30:00-05:00,PLTR,BUY,65.82368348984787,19.809899236679076,0.0,1,NORMAL
2023-11-24 09:30:00-05:00,TSMX,BUY,14.663222771551297,88.70205106148364,0.0,4,80PCT_ADD
