strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
10.0,84,500,53143.73461758646,617,176,441,28.52512155591572,290087.6422510979,18.319889191138174,655,217,-11443.100742240833,1724.091894632389,62862.7434651949
15.0,84,500,48451.48772697302,595,165,430,27.73109243697479,285602.63349607604,16.964650197330446,680,232,-14755.121674421793,678.4952022184552,62528.114199176365
12.5,84,500,46685.70563166536,604,164,440,27.1523178807947,286507.14937868546,16.294778588564785,669,226,-25786.698201999832,6035.762689287176,66436.64114437801
10.0,84,450,46461.565632437196,617,179,438,29.01134521880065,290087.6422510979,16.016389140844677,655,217,-14448.942683111758,1179.2693631019938,59731.23895244696
20.0,84,500,46087.84343931573,564,139,425,24.645390070921984,273610.86072541494,16.844303371995043,711,237,-18431.02806049551,-1123.306331680069,65642.17783149132
17.5,84,500,45218.82522540257,582,154,428,26.46048109965636,281261.16447041923,16.077166327083994,693,237,-18886.321176516147,-2299.524326477558,66404.67072839629
10.0,84,400,43092.518267571635,617,183,434,29.65964343598055,290087.6422510979,14.854999659127516,655,217,-12839.596530724366,-2267.061047170626,58199.17584546663
20.0,84,450,42657.97672451904,564,143,421,25.354609929078016,273610.86072541494,15.590746877306488,711,237,-19282.745294762666,1152.710065567935,60788.01195371377
15.0,84,450,40493.45370418224,595,168,427,28.235294117647058,285602.63349607604,14.178249411953894,680,232,-16320.752358974332,-3247.8212514342176,60062.027314590785
12.5,84,450,39534.94701857874,604,167,437,27.64900662251656,286507.14937868546,13.7989390855738,669,226,-26487.010507487415,2263.0573235391003,63758.90020252706
17.5,84,450,39361.00857377939,582,156,426,26.804123711340207,281261.16447041923,13.994469747677895,693,237,-21217.17189212104,-968.0515028735663,61546.231968774
15.0,84,400,35576.19319618908,595,170,425,28.57142857142857,285602.63349607604,12.456535418003375,680,232,-17253.032374084432,-1881.2401528926257,54710.46572316614
10.0,84,350,33693.50599470583,617,186,431,30.14586709886548,290087.6422510979,11.614940137829437,655,217,-15515.796788008369,-4269.640408587059,53478.94319130127
10.0,84,250,32600.31011452418,617,206,411,33.38735818476499,290087.6422510979,11.23808993087185,655,217,-4292.944544985969,-2784.421599553294,39677.676259063446
17.5,84,300,31946.158754711574,582,179,403,30.756013745704468,281261.16447041923,11.35818335064577,693,237,-11291.134354063865,3238.987338220966,39998.30577055447
12.5,84,400,31462.735592359477,604,169,435,27.980132450331123,286507.14937868546,10.981483589707633,669,226,-27443.454530938157,928.9376040860298,57977.252519211615
17.5,84,400,30772.10613791452,582,159,423,27.31958762886598,281261.16447041923,10.940758990262548,693,237,-23137.82432526518,207.7751953671741,53702.15526781252
20.0,84,300,30498.122248888674,564,167,397,29.609929078014186,273610.86072541494,11.146532037518565,711,237,-9793.861402645776,2809.9318957486303,37482.05175578582
20.0,84,400,28945.502495118875,564,144,420,25.53191489361702,273610.86072541494,10.579076582843486,711,237,-23801.847284800933,-272.00877448464144,53019.35855440444
15.0,84,300,27461.281376438495,595,182,413,30.58823529411765,285602.63349607604,9.615205938503992,680,232,-13758.713928629608,465.4498941327256,40754.54541093538
