strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
17.5,112,500,43076.59223770572,638,153,485,23.981191222570533,304545.8006413429,14.144536600731564,633,203,-23656.54548281068,-9220.937458886969,75954.07517940339
20.0,112,500,39589.05230710111,621,145,476,23.349436392914654,297796.2225974529,13.29400754710571,651,208,-32422.869770935868,-6666.546232623883,78678.46831066086
15.0,112,500,34159.51988371517,643,157,486,24.416796267496114,304587.2478191766,11.215019712182617,627,201,-29914.112336985556,-6424.231424538719,70497.86364523944
17.5,112,450,33924.535260374985,638,157,481,24.608150470219435,304545.8006413429,11.13938697855407,633,203,-27931.714811947902,-8242.548872690788,70098.79894501367
20.0,112,450,33443.868714278724,621,150,471,24.154589371980677,297796.2225974529,11.230454309518421,651,208,-35317.04695670187,-3809.7004998519333,72570.61617083254
15.0,112,450,29332.495246896382,643,161,482,25.038880248833596,304587.2478191766,9.630244029228079,627,201,-24146.905920003148,-11833.637782929658,65313.03894982919
15.0,112,400,25179.685077619215,643,167,476,25.972006220839816,304587.2478191766,8.266821824585238,627,201,-31455.69781488188,-2636.183498586257,59271.566391087355
17.5,112,400,22514.946329088154,638,160,478,25.07836990595611,304545.8006413429,7.39295904973043,633,203,-35225.25542614391,-6079.207138260668,63819.40889349272
20.0,112,350,21413.768903592303,621,161,460,25.925925925925924,297796.2225974529,7.190745643721089,651,208,-39285.3320107304,-292.9401145290758,60992.04102885179
20.0,112,400,20926.23930648483,621,153,468,24.637681159420293,297796.2225974529,7.027033158433291,651,208,-40153.61078337968,-4838.014741036601,65917.86483090109
12.5,112,500,20484.365469734432,655,163,492,24.885496183206108,308405.6310226726,6.642020575891662,612,199,-34900.74763843242,-3014.129066340942,58399.2421745078
10.0,112,500,20123.22759649747,673,172,501,25.557206537890043,315646.41784105747,6.375243455679083,595,196,-33250.29547998864,-2299.034748596512,55672.557825082615
17.5,112,350,17590.108071896382,638,166,472,26.01880877742947,304545.8006413429,5.775849817943107,633,203,-33363.58822134025,-8304.80814397019,59258.50443720683
10.0,112,450,15254.851085327165,673,177,496,26.300148588410106,315646.41784105747,4.832892193000805,595,196,-38436.03797200322,-4165.339515026864,57856.22857235725
15.0,112,350,14613.657904018422,643,170,473,26.43856920684292,304587.2478191766,4.797856117960023,627,201,-32627.451600437955,-7689.952453136844,54931.061957593214
10.0,112,350,13798.787040593808,673,188,485,27.934621099554235,315646.41784105747,4.37159627375912,595,196,-33158.229803318376,-2244.134123824653,49201.15096773684
12.5,112,450,13727.527030131674,655,166,489,25.34351145038168,308405.6310226726,4.451127232862518,612,199,-34308.65831184325,-7583.8517878201965,55620.03712979512
10.0,112,400,12607.170392895569,673,181,492,26.894502228826152,315646.41784105747,3.994079983269083,595,196,-35891.26734317154,-7394.001011991826,55892.43874805894
12.5,112,400,10726.747589417068,655,172,483,26.259541984732827,308405.6310226726,3.478129615807334,612,199,-34486.31092496302,-3097.910063927624,48310.9685783077
20.0,112,300,7810.280956231063,621,168,453,27.053140096618357,297796.2225974529,2.6226930913051363,651,208,-41024.06104675317,-2481.8608240987032,51316.20282708295
20.0,112,250,7250.771551903665,621,184,437,29.629629629629626,297796.2225974529,2.434809779875858,651,208,-37407.18769310105,2724.1635854967008,41933.79565950801
17.5,112,300,7031.29920162281,638,173,465,27.11598746081505,304545.8006413429,2.308782188693983,633,203,-36176.330402902815,-8605.37195269977,51813.0015572254
20.0,112,200,6402.635528058376,622,207,415,33.27974276527331,298087.66994235944,2.147903510835064,650,207,-22045.934338836967,-5126.433843298244,33575.00371019359
15.0,112,300,6032.844456206869,643,178,465,27.682737169517885,304587.2478191766,1.980662191014763,627,201,-35267.49590898369,-8435.223018100794,49735.563383291345
12.5,112,350,5610.315247556053,655,176,479,26.87022900763359,308405.6310226726,1.8191351529322786,612,199,-33739.389785821346,-2897.380531019333,42247.08556439674
17.5,112,250,3587.941715210226,638,187,451,29.310344827586203,304545.8006413429,1.1781287765762591,633,203,-31903.72471575709,-6881.684349804743,42373.35078077205
15.0,112,200,3483.1628036869683,643,216,427,33.592534992223946,304587.2478191766,1.1435681659774566,627,201,-20836.058994165927,-8393.558335062693,32712.780132915585
15.0,112,250,1064.932798029848,643,191,452,29.704510108864696,304587.2478191766,0.3496314457202961,627,201,-36426.471879669276,-3191.9349349807553,40683.339612679876
17.5,112,200,-236.219908785778,638,209,429,32.758620689655174,304372.34197834926,-0.07760886132110548,633,203,-22671.038197558613,-11422.371853278813,33857.190142051644
10.0,112,300,-720.3464236121717,673,192,481,28.52897473997028,315646.41784105747,-0.22821308365834186,595,196,-35317.08427789666,-8293.267662442235,42890.005516726735
20.0,112,150,-1555.742422162377,623,243,380,39.00481540930979,298584.6084552604,-0.5210390549637081,649,206,-20705.732295734306,-5253.2684578689505,24403.258331440877
12.5,112,200,-4824.7168221210595,655,219,436,33.43511450381679,308405.6310226726,-1.5644062030003494,612,199,-22241.29260552976,-7114.391194118522,24530.96697752723
10.0,112,250,-5207.007879881808,673,203,470,30.163447251114412,315646.41784105747,-1.6496331292135167,595,196,-39203.62148100062,-5098.006462437354,39094.620063556176
17.5,112,150,-6288.492476491553,639,246,393,38.497652582159624,304835.42658434226,-2.0629139293138046,632,202,-18882.375397698757,-12032.303734587895,24626.186655795096
12.5,112,300,-7167.345297801203,655,181,474,27.633587786259543,308405.6310226726,-2.3239994918491913,612,199,-37626.14927274833,-7421.03653043271,37879.840505379834
